title,pdf,arxiv,keywords,conference_day
Reallocating Attention Across Layers to Reduce Multimodal Hallucination,https://openaccess.thecvf.com/content/CVPR2026/papers/Lu_Reallocating_Attention_Across_Layers_to_Reduce_Multimodal_Hallucination_CVPR_2026_paper.pdf,https://arxiv.org/abs/2510.10285,multimodal large reasoning models; multimodal hallucination; visual grounding; attention allocation; perceptual bias; reasoning drift; Functional Head Identification; Class-Conditioned Rescaling; layerwise contributions; cross-layer functional dynamics,2026-06-05
PanoEnv: Exploring 3D Spatial Intelligence in Panoramic Environments with Reinforcement Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Lin_PanoEnv_Exploring_3D_Spatial_Intelligence_in_Panoramic_Environments_with_Reinforcement_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.21992,panoramic environments; 3D spatial intelligence; Equirectangular Projection images; Vision-Language Models; VQA benchmark; synthetic 3D environments; 3D spatial reasoning; Group Relative Policy Optimization; geometry-aware reward; omnidirectional perception,2026-06-05
Erasing Thousands of Concepts: Towards Scalable and Practical Concept Erasure for Text-to-Image Diffusion Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Seo_Erasing_Thousands_of_Concepts_Towards_Scalable_and_Practical_Concept_Erasure_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.16481,concept erasure; text-to-image diffusion models; Erasing Thousands of Concepts; low-rank concept distributions; Student's t-distribution Mixture Model; affine optimal transport; Mixture-of-Experts; MoEraser; text embedding projector; white-box attack robustness,2026-06-05
REArtGS++: Generalizable Articulation Reconstruction with Temporal Geometry Constraint via Planar Gaussian Splatting,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_REArtGS_Generalizable_Articulation_Reconstruction_with_Temporal_Geometry_Constraint_via_Planar_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.17059,articulated object reconstruction; temporal geometry constraint; planar Gaussian splatting; part-level surface reconstruction; joint parameter estimation; decoupled screw motion; part-aware Gaussians; part motion blending; temporally consistent regularization; multi-view RGB images,2026-06-05
Efficient and High-Fidelity Omni Modality Retrieval,https://openaccess.thecvf.com/content/CVPR2026/papers/Huynh_Efficient_and_High-Fidelity_Omni_Modality_Retrieval_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.02098,multimodal retrieval; omni-modal retrieval; OmniRet; composed queries; text-vision-audio retrieval; attention-based resampling; fixed-size representations; Attention Sliced Wasserstein Pooling; audio-visual retrieval; Audio-Centric Multimodal Benchmark,2026-06-05
What Is the Optimal Ranking Score Between Precision and Recall? We Can Always Find It and It Is Rarely F1,https://openaccess.thecvf.com/content/CVPR2026/papers/Pierard_What_Is_the_Optimal_Ranking_Score_Between_Precision_and_Recall_CVPR_2026_paper.pdf,,precision-recall tradeoff; F-score optimization; Kendall rank correlation; classifier ranking; harmonic mean; ranking manifold; optimal beta parameter; skew-insensitive F-score; classification performance; rank correlation optimization,2026-06-05
RetouchIQ: MLLM Agents for Instruction-Based Image Retouching with Generalist Reward,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_RetouchIQ_MLLM_Agents_for_Instruction-Based_Image_Retouching_with_Generalist_Reward_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.17558,instruction-based image retouching; MLLM agents; tool-based image editing; reinforcement learning; generalist reward model; executable image adjustments; multimodal reasoning; scalar feedback; instruction-reasoning pairs; semantic consistency,2026-06-05
LongStream: Long-Sequence Streaming Autoregressive Visual Geometry,https://openaccess.thecvf.com/content/CVPR2026/papers/Cheng_LongStream_Long-Sequence_Streaming_Autoregressive_Visual_Geometry_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.13172,long-sequence streaming 3D reconstruction; autoregressive visual geometry; metric-scale scene reconstruction; keyframe-relative poses; orthogonal scale learning; scale drift suppression; attention decay; Transformer attention bias; KV-cache saturation; cache-consistent training,2026-06-05
Ultra Diffusion Poser: Diffusion-Based Human Motion Tracking from Sparse Inertial Sensors and Ranging-based Between-sensor Distances,https://openaccess.thecvf.com/content/CVPR2026/papers/Hollidt_Ultra_Diffusion_Poser_Diffusion-Based_Human_Motion_Tracking_from_Sparse_Inertial_CVPR_2026_paper.pdf,,diffusion-based human motion tracking; sparse inertial sensors; inertial measurement units; ultra-wideband ranging; inter-sensor distances; 3D sensor layout reconstruction; geometric constraints; Spatial Layout Module; UWB-Diffusion Guidance; pose reconstruction,2026-06-05
APPO: Attention-guided Perception Policy Optimization for Video Reasoning,https://openaccess.thecvf.com/content/CVPR2026/papers/Du_APPO_Attention-guided_Perception_Policy_Optimization_for_Video_Reasoning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.23823,complex video reasoning; fine-grained perception; Attention-guided Perception Policy Optimization; token-level dense rewards; intra-group perception tokens; crucial video frame attention; perception policy optimization; low-cost perception enhancement; video benchmarks; reasoning-based perception improvement,2026-06-05
An Efficient Token Compression Framework for Visual Object Tracking,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_An_Efficient_Token_Compression_Framework_for_Visual_Object_Tracking_CVPR_2026_paper.pdf,https://arxiv.org/abs/2605.08329,visual object tracking; token compression; Transformer-based trackers; historical template frames; spatio-temporal cues; compress-then-interact tracking; ETCTrack; Adaptive Token Compressor; Hierarchical Interaction Encoder; target localization,2026-06-05
GraphVLM: Benchmarking Vision Language Models for Multimodal Graph Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_GraphVLM_Benchmarking_Vision_Language_Models_for_Multimodal_Graph_Learning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.13370,Vision-Language Models; multimodal graph learning; GraphVLM; graph reasoning; structured data; multimodal feature fusion; graph neural networks; VLM-as-Encoder; VLM-as-Aligner; VLM-as-Predictor,2026-06-05
MovieRecapsQA: A Multimodal Open-Ended Video Question-Answering Benchmark,https://openaccess.thecvf.com/content/CVPR2026/papers/Shaar_MovieRecapsQA_A_Multimodal_Open-Ended_Video_Question-Answering_Benchmark_CVPR_2026_paper.pdf,https://arxiv.org/abs/2601.02536,MovieRecapsQA; open-ended VideoQA; multimodal video question answering; movie recap videos; reference-free evaluation metric; multimodal reasoning; aligned movie scenes; dialogue cues; MLLM benchmarking; visual perception bottleneck,2026-06-05
PhysHead: Simulation-Ready Gaussian Head Avatars,https://openaccess.thecvf.com/content/CVPR2026/papers/Kabadayi_PhysHead_Simulation-Ready_Gaussian_Head_Avatars_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.06467,Gaussian head avatars; dynamic hair motion; strand-based hair; 3D Gaussian layered representation; animatable head avatars; multi-view video; physics engine simulation; Gaussian primitives; VLM-based occlusion completion; physically plausible hair motion,2026-06-05
Physical Simulator In-the-Loop Video Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Foo_Physical_Simulator_In-the-Loop_Video_Generation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.06408,Physical Simulator In-the-loop Video Generation; diffusion-based video generation; physical simulator; video diffusion process; 4D scene reconstruction; foreground object meshes; physically consistent trajectories; spatio-temporal motion coherence; Test-Time Texture Consistency Optimization; pixel correspondences,2026-06-05
JoPPO: Hierarchical Photography Assessment via Contrastive Joint Conditional Probabilistic Reinforcement Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_JoPPO_Hierarchical_Photography_Assessment_via_Contrastive_Joint_Conditional_Probabilistic_Reinforcement_CVPR_2026_paper.pdf,,Vision-Language Models; VLM-as-a-Judge; visual evaluation; multi-attribute compositional assessment; Joint Probabilistic Policy Optimization; image aesthetics assessment; Supervised Fine-Tuning; synthetic composition dataset; contrastive reinforcement learning; ranking consistency,2026-06-05
Functional Mean Flow in Hilbert Space,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Functional_Mean_Flow_in_Hilbert_Space_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.12898,Functional Mean Flow; Hilbert space; one-step generative model; Functional Flow Matching; flow matching; functional data generation; x1-prediction; time series generation; PDE generation; 3D geometry generation,2026-06-05
One Patch to Caption Them All: A Unified Zero-Shot Captioning Framework,https://openaccess.thecvf.com/content/CVPR2026/papers/Bianchi_One_Patch_to_Caption_Them_All_A_Unified_Zero-Shot_Captioning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2510.02898,zero-shot captioning; patch-centric captioning; common-space vision-language representations; text-aligned image features; arbitrary region captioning; dense visual features; DINO; zero-shot dense captioning; region-set captioning; trace captioning,2026-06-05
Fine-Grained Post-Training Quantization for Large Vision Language Models with Quantization-Aware Integrated Gradients,https://openaccess.thecvf.com/content/CVPR2026/papers/Xiang_Fine-Grained_Post-Training_Quantization_for_Large_Vision_Language_Models_with_Quantization-Aware_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.17809,Large Vision Language Models; post-training quantization; Quantization-aware Integrated Gradients; token sensitivity; fine-grained calibration; token-level quantization error; multimodal interaction; inter-modality dynamics; intra-modality dynamics; weight-only quantization,2026-06-05
GR-Gauge: Cost-efficient Training Configuration By Gauging the Gradient Redundancy,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_GR-Gauge_Cost-efficient_Training_Configuration_By_Gauging_the_Gradient_Redundancy_CVPR_2026_paper.pdf,,gradient redundancy; hyper-parameter optimization; cost-efficient training; learning rate; batch size; cloud training services; validation signals; configuration searching; trial termination; gradient voting process,2026-06-05
SPEGC: Continual Test-Time Adaptation via Semantic-Prompt-Enhanced Graph Clustering for Medical Image Segmentation,https://openaccess.thecvf.com/content/CVPR2026/papers/Du_SPEGC_Continual_Test-Time_Adaptation_via_Semantic-Prompt-Enhanced_Graph_Clustering_for_Medical_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.11492,Continual Test-Time Adaptation; medical image segmentation; Semantic-Prompt-Enhanced Graph Clustering; domain gap; semantic prompt feature enhancement; prompt pools; differentiable graph clustering; optimal transport; edge sparsification; cluster-level consistency,2026-06-05
Vocabulary Scaling Law: Tuning Open-vocabulary Predictors for Their Openness,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Vocabulary_Scaling_Law_Tuning_Open-vocabulary_Predictors_for_Their_Openness_CVPR_2026_paper.pdf,,open-vocabulary learning; CLIP fine-tuning; vocabulary scaling law; streaming open-world evaluation; distractor classes; extensibility to novel classes; class-name embeddings; prompt embedding orthogonality; Submodular-Vocabulary Fine-tuning; constrained submodular maximization,2026-06-05
The Consistency Critic: Correcting Inconsistencies in Generated Images via Reference-Guided Attentive Alignment,https://openaccess.thecvf.com/content/CVPR2026/papers/Ouyang_The_Consistency_Critic_Correcting_Inconsistencies_in_Generated_Images_via_Reference-Guided_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.20614,reference-guided post-editing; image inconsistency correction; ImageCritic; reference-degraded-target triplets; VLM-based selection; explicit degradation; attention alignment loss; detail encoder; multi-round local editing; customized image generation,2026-06-05
Where Does Vision Meet Language? Understanding and Refining Visual Fusion in MLLMs via Contrastive Attention,https://openaccess.thecvf.com/content/CVPR2026/papers/Song_Where_Does_Vision_Meet_Language_Understanding_and_Refining_Visual_Fusion_CVPR_2026_paper.pdf,,Multimodal Large Language Models; vision-language understanding; visual-text fusion; layer-wise masking analysis; layer-wise attention evolution; contrastive attention framework; early fusion; high-attention noise; text-aligned regions; multimodal reasoning,2026-06-05
Taming Preference Mode Collapse via Directional Decoupling Alignment in Diffusion Reinforcement Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Taming_Preference_Mode_Collapse_via_Directional_Decoupling_Alignment_in_Diffusion_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.24146,text-to-image diffusion models; Reinforcement Learning from Human Feedback; human preference alignment; Preference Mode Collapse; reward hacking; generative diversity; DivGenBench; reward model biases; Directional Decoupling Alignment; reward signal correction,2026-06-05
"DocPrune: Efficient Document Question Answering via Background, Question, and Comprehension-aware Token Pruning",https://openaccess.thecvf.com/content/CVPR2026/papers/Choi_DocPrune_Efficient_Document_Question_Answering_via_Background_Question_and_Comprehension-aware_CVPR_2026_paper.pdf,,document question answering; document token pruning; vision-language models; long-document understanding; structural sparsity; training-free progressive pruning; question-irrelevant tokens; comprehension-aware layer selection; M3DocRAG; token reduction,2026-06-05
POUR: A Provably Optimal Method for Unlearning Representation via Neural Collapse,https://openaccess.thecvf.com/content/CVPR2026/papers/Le_POUR_A_Provably_Optimal_Method_for_Unlearning_Representation_via_Neural_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.19339,machine unlearning; representation unlearning; Neural Collapse; simplex Equiangular Tight Frame; orthogonal projection; Representation Unlearning Score; forgetting efficacy; retention fidelity; class separation; knowledge distillation,2026-06-05
Skyra: AI-Generated Video Detection via Grounded Artifact Reasoning,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Skyra_AI-Generated_Video_Detection_via_Grounded_Artifact_Reasoning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.15693,AI-generated video detection; grounded artifact reasoning; multimodal large language model; visual artifacts; explainable detection; ViF-CoT-4K; supervised fine-tuning; spatio-temporal artifact perception; fine-grained human annotations; ViF-Bench,2026-06-05
MAMMA: Markerless Accurate Multi-person Motion Acquisition,https://openaccess.thecvf.com/content/CVPR2026/papers/Velasquez_MAMMA_Markerless_Accurate_Multi-person_Motion_Acquisition_CVPR_2026_paper.pdf,,markerless motion capture; multi-person motion acquisition; SMPL-X parameter recovery; multi-view video; dense 2D surface landmarks; contact-aware landmarks; visibility-aware landmarks; segmentation masks; person-specific correspondence estimation; synthetic multi-view dataset,2026-06-05
First Frame Is the Place to Go for Video Content Customization,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_First_Frame_Is_the_Place_to_Go_for_Video_Content_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.15700,video content customization; video generation models; first frame conditioning; conceptual memory buffer; visual entity reuse; reference-based video customization; few-shot training; generalized customization; architectural-change-free adaptation; large-scale finetuning-free adaptation,2026-06-05
HeroGS: Hierarchical Guidance for Robust 3D Gaussian Splatting under Sparse Views,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_HeroGS_Hierarchical_Guidance_for_Robust_3D_Gaussian_Splatting_under_Sparse_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.01099,3D Gaussian Splatting; sparse-view novel view synthesis; HeroGS; hierarchical guidance; pseudo-dense guidance; Feature-Adaptive Densification and Pruning; Co-Pruned Geometry Consistency; Gaussian distributions; geometric consistency; high-fidelity reconstruction,2026-06-05
Bidirectional Query-Driven Generation of Parametric CAD Sketch,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_Bidirectional_Query-Driven_Generation_of_Parametric_CAD_Sketch_CVPR_2026_paper.pdf,,parametric CAD sketch; CADSketcher; query-driven generation; bidirectional sketch learner; partial sketch completion; confidence-guided completion pipeline; validity compiler; progressive context updater; hybrid positional encoding; modeling instruction generation,2026-06-05
SRGCD: Stability-Driven Region Growth Framework for 3D Change Detection,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_SRGCD_Stability-Driven_Region_Growth_Framework_for_3D_Change_Detection_CVPR_2026_paper.pdf,,3D change detection; point clouds; Stability-Driven Region Growth; region growing; Mutual Geometric Consistency Prior; Stability-Guided Controlled Attention; high-confidence seed selection; boundary ambiguity; class imbalance; bi-temporal feature differences,2026-06-05
Dual-Estimator: Decoupling Global and Local Semantic Shift for Drift Compensation in Class-Incremental Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_Dual-Estimator_Decoupling_Global_and_Local_Semantic_Shift_for_Drift_Compensation_CVPR_2026_paper.pdf,,class-incremental learning; exemplar-free continual learning; semantic shift; drift compensation; Dual-Estimator; global semantic shift; local semantic shift; mixture-of-experts estimator; low-rank estimator; catastrophic forgetting,2026-06-05
SAM 3D Body: Robust Full-Body Human Mesh Recovery,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_SAM_3D_Body_Robust_Full-Body_Human_Mesh_Recovery_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.15989,SAM 3D Body; full-body 3D human mesh recovery; single-image HMR; Momentum Human Rig; parametric mesh representation; promptable model; 2D keypoints and masks; multi-stage annotation pipeline; multi-view geometry; dense keypoint detection,2026-06-05
GuardTrace-VL: Detecting Unsafe Multimodel Reasoning via Iterative Safety Supervision,https://openaccess.thecvf.com/content/CVPR2026/papers/Xiang_GuardTrace-VL_Detecting_Unsafe_Multimodel_Reasoning_via_Iterative_Safety_Supervision_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.20994,multimodal large reasoning models; unsafe reasoning detection; reasoning traces; multimodal safety guards; Question-Thinking-Answer pipeline; joint image-text analysis; vision-aware safety auditor; GuardTrace dataset; progressive training scheme; context-dependent safety preferences,2026-06-05
Tackling Alignment Ambiguity in Person Retrieval through Conversational Attribute Mining,https://openaccess.thecvf.com/content/CVPR2026/papers/Zou_Tackling_Alignment_Ambiguity_in_Person_Retrieval_through_Conversational_Attribute_Mining_CVPR_2026_paper.pdf,,Text-to-Image Person Retrieval; cross-modal alignment; conversational attribute mining; multimodal large language models; fine-grained pedestrian attributes; Conversation-Enhanced Cross-modal Alignment; Bidirectional Cross-attention Mixer; token-level alignment; Confidence-Aware Weighting Loss; local attribute modeling,2026-06-05
Gastric-X: A Multimodal Multi-Phase Benchmark Dataset for Advancing Vision-Language Models in Gastric Cancer Analysis,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Gastric-X_A_Multimodal_Multi-Phase_Benchmark_Dataset_for_Advancing_Vision-Language_Models_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.19516,vision-language models; gastric cancer analysis; multimodal benchmark dataset; resting and dynamic CT scans; endoscopic images; biochemical indicators; diagnostic notes; tumor bounding box annotations; visual question answering; cross-modal retrieval,2026-06-05
AVION: Aerial Vision-Language Instruction from Offline Teacher to Prompt-Tuned Network,https://openaccess.thecvf.com/content/CVPR2026/papers/Hu_AVION_Aerial_Vision-Language_Instruction_from_Offline_Teacher_to_Prompt-Tuned_Network_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.12659,vision-language models; remote sensing imagery; aerial scenes; knowledge distillation; textual prototypes; lightweight learnable prompts; prompt-tuned network; few-shot classification; cross-modal retrieval; novel category generalization,2026-06-05
OSA: Echocardiography Video Segmentation via Orthogonalized State Update and Anatomical Prior-aware Feature Enhancement,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_OSA_Echocardiography_Video_Segmentation_via_Orthogonalized_State_Update_and_Anatomical_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.26188,echocardiography video segmentation; left ventricle segmentation; ejection fraction estimation; spatiotemporal dynamics; speckle noise; non-rigid deformations; linear recurrent models; rank collapse; Stiefel manifold; Orthogonalized State Update,2026-06-05
VLM-Guided Group Preference Alignment for Diffusion-based Human Mesh Recovery,https://openaccess.thecvf.com/content/CVPR2026/papers/Shen_VLM-Guided_Group_Preference_Alignment_for_Diffusion-based_Human_Mesh_Recovery_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.19180,human mesh recovery; diffusion-based HMR; single RGB image; 3D pose ambiguity; VLM-guided critique agent; dual-memory augmentation; self-reflection; group-wise HMR preference dataset; group preference alignment; image-consistent human meshes,2026-06-05
PhysIR-Splat: Physically Consistent Thermal Infrared Radiative Transfer in 3D Gaussian Splatting,https://openaccess.thecvf.com/content/CVPR2026/papers/Gao_PhysIR-Splat_Physically_Consistent_Thermal_Infrared_Radiative_Transfer_in_3D_Gaussian_CVPR_2026_paper.pdf,,Thermal infrared 3D reconstruction; 3D Gaussian Splatting; infrared radiative transfer; novel view synthesis; temperature field modeling; emissivity; environmental irradiance; atmospheric transmittance; Transformer-based feed-forward initializer; structure-from-motion initialization,2026-06-05
Generalized-CVO: Fast and Correspondence-Free Local Point Cloud Registration with Second Order Riemannian Optimization,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Generalized-CVO_Fast_and_Correspondence-Free_Local_Point_Cloud_Registration_with_Second_CVPR_2026_paper.pdf,,local point cloud registration; correspondence-free registration; RKHS embeddings; anisotropic kernels; local geometry encoding; second-order Riemannian optimization; approximate Riemannian Hessians; LiDAR tracking; RGBD tracking; ICP-based methods,2026-06-05
MultiAnimate: Pose-Guided Image Animation Made Extensible,https://openaccess.thecvf.com/content/CVPR2026/papers/Hu_MultiAnimate_Pose-Guided_Image_Animation_Made_Extensible_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.21581,pose-guided human image animation; multi-character image animation; Diffusion Transformers; video generation; identity confusion; occlusion handling; Identifier Assigner; Identifier Adapter; per-person positional cues; inter-person spatial relationships,2026-06-05
AnyLift: Scaling Motion Reconstruction from Internet Videos via 2D Diffusion,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_AnyLift_Scaling_Motion_Reconstruction_from_Internet_Videos_via_2D_Diffusion_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.17818,3D human motion reconstruction; human-object interactions; Internet videos; 2D diffusion; multi-view 2D motion data; dynamic cameras; motion-capture datasets; 2D keypoints; camera-conditioned motion diffusion; world-space HOI,2026-06-05
Accelerating Diffusion via Hybrid Data-Pipeline Parallelism Based on Conditional Guidance Scheduling,https://openaccess.thecvf.com/content/CVPR2026/papers/Jung_Accelerating_Diffusion_via_Hybrid_Data-Pipeline_Parallelism_Based_on_Conditional_Guidance_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.21760,Diffusion acceleration; hybrid data-pipeline parallelism; conditional guidance scheduling; condition-based partitioning; adaptive parallelism switching; conditional diffusion models; denoising discrepancy; SDXL; SD3; high-resolution synthesis,2026-06-05
The Missing Point in Vision Transformers for Universal Image Segmentation,https://openaccess.thecvf.com/content/CVPR2026/papers/Shahabodini_The_Missing_Point_in_Vision_Transformers_for_Universal_Image_Segmentation_CVPR_2026_paper.pdf,https://arxiv.org/abs/2505.19795,ViT-P; universal image segmentation; Vision Transformer; mask-based segmentation; class-agnostic mask proposals; point-based classification; mask central points; pre-training-free adapter; coarse annotations; panoptic segmentation,2026-06-05
AeroAgent: A Vision-Physics-Decision Framework for Aerodynamic Vehicle Design,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_AeroAgent_A_Vision-Physics-Decision_Framework_for_Aerodynamic_Vehicle_Design_CVPR_2026_paper.pdf,,aerodynamic vehicle design; computational fluid dynamics; vision-physics-decision framework; 3D editable surface representation; AeroFormer; Transformer surrogate; vehicle aerodynamics dataset; drag prediction; free-form deformation; budget-aware propose-evaluate-refine loop,2026-06-05
StreamAvatar: Streaming Diffusion Models for Real-Time Interactive Human Avatars,https://openaccess.thecvf.com/content/CVPR2026/papers/Sun_StreamAvatar_Streaming_Diffusion_Models_for_Real-Time_Interactive_Human_Avatars_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.22065,streaming diffusion models; real-time interactive avatars; human video diffusion model; autoregressive distillation; adversarial refinement; Reference Sink; Reference-Anchored Positional Re-encoding; Consistency-Aware Discriminator; one-shot human avatar generation; talking and listening behaviors,2026-06-05
