title,pdf,arxiv,keywords,conference_day
FluidGaussian: Propagating Simulation-Based Uncertainty Toward Functionally-Intelligent 3D Reconstruction,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_FluidGaussian_Propagating_Simulation-Based_Uncertainty_Toward_Functionally-Intelligent_3D_Reconstruction_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.21356,3D reconstruction; simulation-based uncertainty; fluid-structure interactions; active learning; physical fidelity; 3D Gaussian Splatting; multi-view 2D images; photometric losses; velocity divergence; surface quality,2026-06-06
CVA: Context-aware Video-text Alignment for Video Temporal Grounding,https://openaccess.thecvf.com/content/CVPR2026/papers/Moon_CVA_Context-aware_Video-text_Alignment_for_Video_Temporal_Grounding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.24934,Context-aware Video-text Alignment; video temporal grounding; temporally sensitive video-text alignment; Query-aware Context Diversification; video-text similarity-based replacement clips; Context-invariant Boundary Discrimination loss; contrastive loss; Context-enhanced Transformer Encoder; multi-scale temporal context; false negatives,2026-06-06
PAS: A Training-Free Stabilizer for Temporal Encoding in Video LLMs,https://openaccess.thecvf.com/content/CVPR2026/papers/Sun_PAS_A_Training-Free_Stabilizer_for_Temporal_Encoding_in_Video_LLMs_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.10979,Video LLMs; temporal inconsistency; Rotary Position Embeddings; multimodal RoPE; inverse Fourier time kernel; Phase Aggregated Smoothing; training-free temporal encoding; phase offsets across heads; Lipschitz stability; video understanding benchmarks,2026-06-06
CanonCGT: Reference-Based Color Grading via Canonical Pivot Representation,https://openaccess.thecvf.com/content/CVPR2026/papers/Ko_CanonCGT_Reference-Based_Color_Grading_via_Canonical_Pivot_Representation_CVPR_2026_paper.pdf,,Color grading; Reference-based image processing; Canonical representation; Tone mapping; Style transfer; Self-supervised learning; Color harmony; Photorealistic rendering; Dual-phase training; Preset learning,2026-06-06
Every Error has Its Magnitude: Asymmetric Mistake Severity Training for Multiclass Multiple Instance Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Hong_Every_Error_has_Its_Magnitude_Asymmetric_Mistake_Severity_Training_for_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.13682,Multiple Instance Learning; Whole Slide Image diagnosis; mistake-severity-aware training; multiclass misclassification severity; hierarchical diagnostic classes; severity-weighted cross-entropy loss; hierarchical consistency; probabilistic alignment; semantic feature remix; Mikel's Wheel-based metric,2026-06-06
Thinking in 360deg: Humanoid Visual Search in the Wild,https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_Thinking_in_360deg_Humanoid_Visual_Search_in_the_Wild_CVPR_2026_paper.pdf,,360° panoramic images; humanoid visual search; embodied agents; head and eye control; object search; path search; visual-spatial reasoning; multimodal LLMs; in-the-wild scenes; benchmark dataset,2026-06-06
Towards Unified Human Perception and Machine Understanding: Token Flow Guided Compression Framework,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_Towards_Unified_Human_Perception_and_Machine_Understanding_Token_Flow_Guided_CVPR_2026_paper.pdf,,Large Vision Language Models; image compression; semantic understanding; token-based compression; flexible bitrate control; ultra-low bitrate; token flow; latent representations; semantic alignment; machine-oriented objectives,2026-06-06
Point4Cast: Streaming Dynamic Scene Reconstruction and Forecasting,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_Point4Cast_Streaming_Dynamic_Scene_Reconstruction_and_Forecasting_CVPR_2026_paper.pdf,,3D scene reconstruction; dynamic scene understanding; temporal forecasting; point cloud; streaming video; 3D Gaussian representations; scene flow estimation; latent spacetime representation; novel view synthesis; autonomous driving,2026-06-06
Generalizable Video Quality Assessment via Weak-to-Strong Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Cao_Generalizable_Video_Quality_Assessment_via_Weak-to-Strong_Learning_CVPR_2026_paper.pdf,,Video quality assessment; weak-to-strong learning; out-of-distribution generalization; perceptual quality prediction; learn-to-rank; teacher-student learning; synthetic distortion simulation; iterative training; video degradation; generalization without human labels,2026-06-06
VisPlay: Self-Evolving Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/He_VisPlay_Self-Evolving_Vision-Language_Models_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.15661,self-evolving Vision-Language Models; reinforcement learning; unlabeled image data; Image-Conditioned Questioner; Multimodal Reasoner; silver responses; Group Relative Policy Optimization; diversity and difficulty rewards; visual reasoning; hallucination reduction,2026-06-06
DeepScan: A Training-Free Framework for Visually Grounded Reasoning in Large Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_DeepScan_A_Training-Free_Framework_for_Visually_Grounded_Reasoning_in_Large_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.03857,DeepScan; training-free framework; visually grounded reasoning; Large Vision-Language Models; Hierarchical Scanning; Refocusing; Evidence-Enhanced Reasoning; multi-scale evidence extraction; hybrid evidence memory; fine-grained visual understanding,2026-06-06
APEX: A Decoupled Memory-based Explorer for Asynchronous Aerial Object Goal Navigation,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_APEX_A_Decoupled_Memory-based_Explorer_for_Asynchronous_Aerial_Object_Goal_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.00551,Aerial Object Goal Navigation; Embodied AI; Unmanned Aerial Vehicle; Dynamic Spatio-Semantic Mapping Memory; Vision-Language Model; 3D Attraction Exploration Obstacle maps; reinforcement learning control policy; Target Grounding Module; open-vocabulary detection; hierarchical asynchronous exploration,2026-06-06
Rationale-Enhanced Decoding for Multi-modal Chain-of-Thought,https://openaccess.thecvf.com/content/CVPR2026/papers/Yamaguchi_Rationale-Enhanced_Decoding_for_Multi-modal_Chain-of-Thought_CVPR_2026_paper.pdf,https://arxiv.org/abs/2507.07685,large vision-language models; multi-modal chain-of-thought; rationale-enhanced decoding; rationale-conditional log-likelihood; KL-constrained reward maximization; plug-and-play inference-time decoding; image-conditional token distributions; rationale-conditional token distributions; rationale-grounded multi-modal reasoning; visual-language reasoning benchmarks,2026-06-06
D$^2$-FOSA: Dual-Diffusion Guided EEG-to-Image Reconstruction with Frequency-Oriented Semantic Alignment,https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_D2-FOSA_Dual-Diffusion_Guided_EEG-to-Image_Reconstruction_with_Frequency-Oriented_Semantic_Alignment_CVPR_2026_paper.pdf,,EEG-to-image reconstruction; brain-computer interface; frequency-oriented semantic alignment; Frequency-Spatio-Temporal Dynamics Encoder; Frequency-Oriented Mamba; CLIP-aligned visual semantic space; contrastive learning; Dual Diffusion Latent Generator; cross-modal alignment; cycle-consistent generation,2026-06-06
Spherical Voronoi: Directional Appearance as a Differentiable Partition of the Sphere,https://openaccess.thecvf.com/content/CVPR2026/papers/Di_Sario_Spherical_Voronoi_Directional_Appearance_as_a_Differentiable_Partition_of_the_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.14180,Spherical Voronoi; directional appearance modeling; differentiable sphere partitioning; 3D Gaussian Splatting; novel view synthesis; Spherical Harmonics limitations; high-frequency view-dependent effects; specular reflections; learnable reflection probes; explicit 3D representations,2026-06-06
Test-time Ego-Exo-centric Adaptation for Action Anticipation via Multi-Label Prototype Growing and Dual-Clue Consistency,https://openaccess.thecvf.com/content/CVPR2026/papers/Shi_Test-time_Ego-Exo-centric_Adaptation_for_Action_Anticipation_via_Multi-Label_Prototype_Growing_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.09798,test-time Ego-Exo adaptation; action anticipation; Dual-Clue enhanced Prototype Growing Network; Multi-Label Prototype Growing Module; dual-clue consistency; multi-label assignment; confidence-based reweighting; class-wise memory banks; entropy priority queue; EgoExoLearn benchmark,2026-06-06
DreamStereo: Towards Real-Time Stereo Inpainting for HD Videos,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_DreamStereo_Towards_Real-Time_Stereo_Inpainting_for_HD_Videos_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.12270,stereo video inpainting; real-time stereo inpainting; HD video inpainting; Gradient-Aware Parallax Warping; backward warping; occlusion masks; Parallax-Based Dual Projection; geometrically consistent stereo pairs; Sparsity-Aware Stereo Inpainting; diffusion inference,2026-06-06
Boosting Reasoning in Large Multimodal Models via Activation Replay,https://openaccess.thecvf.com/content/CVPR2026/papers/Xing_Boosting_Reasoning_in_Large_Multimodal_Models_via_Activation_Replay_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.19972,Activation Replay; Large Multimodal Models; Reinforcement Learning with Verifiable Rewards; multimodal reasoning; logit lens; low-entropy activations; visual tokens; test-time activation manipulation; post-trained LMMs; video reasoning,2026-06-06
Enhancing Part-Level Point Grounding for Any Open-Source MLLMs,https://openaccess.thecvf.com/content/CVPR2026/papers/Jhang_Enhancing_Part-Level_Point_Grounding_for_Any_Open-Source_MLLMs_CVPR_2026_paper.pdf,,visual grounding; part-level grounding; multimodal large language models; fine-grained localization; attention mechanisms; Q-Synth Module; Attention-to-Point Decoder; point-centric heatmap; robotic manipulation; open-source MLLMs,2026-06-06
RoadSceneBench: A Lightweight Benchmark for Mid-Level Road Scene Understanding,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_RoadSceneBench_A_Lightweight_Benchmark_for_Mid-Level_Road_Scene_Understanding_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.22466,mid-level road semantics; road scene understanding; autonomous driving; digital map construction; road topology; dynamic scene structure; visual reasoning; Hierarchical Relational Reward Propagation; temporal consistency; Vision-Language Models,2026-06-06
From Inpainting to Layer Decomposition: Repurposing Generative Inpainting Models for Image Layer Decomposition,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_From_Inpainting_to_Layer_Decomposition_Repurposing_Generative_Inpainting_Models_for_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.20996,image layer decomposition; generative inpainting models; diffusion-based inpainting; lightweight finetuning; multi-modal context fusion; linear attention complexity; latent space detail preservation; synthetic dataset; object removal; occlusion recovery,2026-06-06
AeroDGS: Physically Consistent Dynamic Gaussian Splatting for Single-Sequence Aerial 4D Reconstruction,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_AeroDGS_Physically_Consistent_Dynamic_Gaussian_Splatting_for_Single-Sequence_Aerial_4D_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.22376,4D scene reconstruction; dynamic Gaussian Splatting; monocular UAV videos; aerial 4D reconstruction; Monocular Geometry Lifting; Physics-Guided Optimization; differentiable ground-support priors; upright-stability priors; trajectory-smoothness priors; dynamic aerial reconstruction,2026-06-06
SMVRT: Implicit Human 3D Modeling Using Sparse Multi-View Volumetric Reconstruction with Transformer Fusion,https://openaccess.thecvf.com/content/CVPR2026/papers/Fan_SMVRT_Implicit_Human_3D_Modeling_Using_Sparse_Multi-View_Volumetric_Reconstruction_CVPR_2026_paper.pdf,,3D human reconstruction; sparse multi-view fusion; implicit 3D modeling; volumetric reconstruction; transformer fusion; occupancy prediction; multi-view feature aggregation; 2D-3D feature encoding; attentional fusion; occluded region modeling,2026-06-06
HCL-FF: Hierarchical and Contrastive Learning for Forward-Forward Algorithm,https://openaccess.thecvf.com/content/CVPR2026/papers/Yao_HCL-FF_Hierarchical_and_Contrastive_Learning_for_Forward-Forward_Algorithm_CVPR_2026_paper.pdf,,Forward-Forward algorithm; local learning; hierarchical learning; contrastive learning; layer-wise training; biological plausibility; feature representation; class-discriminative alignment; goodness objectives; neural network interpretability,2026-06-06
Resolving the Stability-Plasticity Dilemma in Reinforcement Learning via Complementary Continual Critics,https://openaccess.thecvf.com/content/CVPR2026/papers/Sun_Resolving_the_Stability-Plasticity_Dilemma_in_Reinforcement_Learning_via_Complementary_Continual_CVPR_2026_paper.pdf,,Reinforcement Learning; Continual Learning; Plasticity-Stability Dilemma; Dual-Critic Architecture; Elastic Weight Consolidation; Cross-Attention Mechanism; Visual RL; Catastrophic Forgetting; DeepMind Control; Policy Degradation,2026-06-06
PACT: Phase-Like Transition Constraints in Adapter-Based Continual Learning of Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_PACT_Phase-Like_Transition_Constraints_in_Adapter-Based_Continual_Learning_of_Vision-Language_CVPR_2026_paper.pdf,,Continual Learning; Vision-Language Models; Adapter-Based Learning; PAC-Bayesian Analysis; Phase Transition; Orthogonality Constraints; Cross-Task Transfer; Vision Transformer; Stability-Plasticity; Parameter Efficiency,2026-06-06
AnchorFlow: Training-Free 3D Editing via Latent Anchor-Aligned Flows,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhou_AnchorFlow_Training-Free_3D_Editing_via_Latent_Anchor-Aligned_Flows_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.22357,training-free 3D editing; latent anchor consistency; diffusion sampling; timestep-dependent noise; global latent anchor; relaxed anchor-alignment loss; anchor-aligned update rule; semantic modifications; geometric fidelity; Eval3DEdit benchmark,2026-06-06
Recurrent Video Masked Autoencoders,https://openaccess.thecvf.com/content/CVPR2026/papers/Zoran_Recurrent_Video_Masked_Autoencoders_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.13684,Recurrent Video Masked-Autoencoders; video representation learning; recurrent computation; temporal structure modeling; asymmetric masking objective; transformer-based recurrent neural network; pixel reconstruction loss; action classification; point and object tracking; stable feature propagation,2026-06-06
GardenDesigner: Encoding Aesthetic Principles into Jiangnan Garden Construction via a Chain of Agents,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_GardenDesigner_Encoding_Aesthetic_Principles_into_Jiangnan_Garden_Construction_via_a_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.01777,Jiangnan garden construction; Chinese classical gardens; procedural modeling; chain of agents; aesthetic principles; water-centric terrain; explorative pathway rules; garden asset selection; layout optimization agents; Unity interactive interface,2026-06-06
Beyond Caption-Based Queries in Video Moment Retrieval,https://openaccess.thecvf.com/content/CVPR2026/papers/Pujol-Perich_Beyond_Caption-Based_Queries_in_Video_Moment_Retrieval_CVPR_2026_paper.pdf,,Video Moment Retrieval; caption-based queries; search queries; DETR architectures; language gap; multi-moment queries; decoder-query collapse; visual bias; textual queries; generalization challenges,2026-06-06
TEXTRIX: Latent Attribute Grid for Native Texture Generation and Beyond,https://openaccess.thecvf.com/content/CVPR2026/papers/Zeng_TEXTRIX_Latent_Attribute_Grid_for_Native_Texture_Generation_and_Beyond_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.02993,3D texture generation; multi-view fusion; latent 3D attribute grid; Diffusion Transformer; sparse attention; volumetric space coloring; high-fidelity texture synthesis; 3D part segmentation; semantic attribute prediction; native 3D attribute generation,2026-06-06
"CHEEM: Continual Learning by Reuse, New, Adapt and Skip - A Hierarchical Exploration-Exploitation Approach",https://openaccess.thecvf.com/content/CVPR2026/papers/Savadikar_CHEEM_Continual_Learning_by_Reuse_New_Adapt_and_Skip_-_CVPR_2026_paper.pdf,https://arxiv.org/abs/2303.08250,continual learning; class-incremental continual learning; exemplar-free learning; catastrophic forgetting; stability-plasticity dilemma; Hierarchical Exploration-Exploitation; neural architecture search; task ID inference; Vision Transformers; adaptive model structures,2026-06-06
Mitigating Objectness Bias and Region-to-Text Misalignment for Open-Vocabulary Panoptic Segmentation,https://openaccess.thecvf.com/content/CVPR2026/papers/Kormushev_Mitigating_Objectness_Bias_and_Region-to-Text_Misalignment_for_Open-Vocabulary_Panoptic_Segmentation_CVPR_2026_paper.pdf,,Open-vocabulary panoptic segmentation; objectness bias; region-to-text alignment; CLIP; mask selection; vision-language models; panoptic segmentation; out-of-vocabulary objects; semantic segmentation; instance segmentation,2026-06-06
Relational Visual Similarity,https://openaccess.thecvf.com/content/CVPR2026/papers/Nguyen_Relational_Visual_Similarity_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.07833,relational visual similarity; image similarity metrics; relational image similarity; relational logic; internal visual relations; representation space; anonymized image captions; Vision-Language model finetuning; relational structure; perceptual attribute similarity,2026-06-06
EReCu: Pseudo-label Evolution Fusion and Refinement with Multi-Cue Learning for Unsupervised Camouflage Detection,https://openaccess.thecvf.com/content/CVPR2026/papers/Jiang_EReCu_Pseudo-label_Evolution_Fusion_and_Refinement_with_Multi-Cue_Learning_for_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.11521,Unsupervised Camouflaged Object Detection; pseudo-label refinement; Multi-Cue Native Perception; low-level texture cues; mid-level semantics; teacher-student interaction; depthwise separable convolution; Spectral Tensor Attention Fusion; multi-layer attention maps; boundary fidelity,2026-06-06
Learning and Aligning Click-Aware Shape Prior for Interactive Amodal Instance Segmentation,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Learning_and_Aligning_Click-Aware_Shape_Prior_for_Interactive_Amodal_Instance_CVPR_2026_paper.pdf,,Amodal instance segmentation; interactive segmentation; shape prior; click-aware learning; triplet loss; deformable attention; occluded region prediction; instance mask estimation; user interaction; shape alignment,2026-06-06
A Multi-Agent Perception-Action Alliance for Efficient Long Video Reasoning,https://openaccess.thecvf.com/content/CVPR2026/papers/Xu_A_Multi-Agent_Perception-Action_Alliance_for_Efficient_Long_Video_Reasoning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.14052,multi-agent perception-action exploration; long-video reasoning; A4VL; VideoQA; VLM agents; query-specific perception clues; clue-based alignment; event-driven partitioning; cue-guided block alignment; inference latency,2026-06-06
OntoAug: Rethinking Generative Data Augmentation via Ontology Guidance,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_OntoAug_Rethinking_Generative_Data_Augmentation_via_Ontology_Guidance_CVPR_2026_paper.pdf,,Generative data augmentation; diffusion models; foreground-background separation; ontology-guided synthesis; image classification; few-shot learning; weakly supervised object localization; semantic fidelity; vision-language models; structured layout control,2026-06-06
EnergyAction: Unimanual to Bimanual Composition with Energy-Based Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Song_EnergyAction_Unimanual_to_Bimanual_Composition_with_Energy-Based_Models_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.20236,EnergyAction; bimanual manipulation; unimanual manipulation policies; Energy-Based Models; policy composition; dual-arm action coordination; temporal-spatial coordination; energy constraints; energy-aware denoising; robotic manipulation,2026-06-06
MDS-VQA: Model-Informed Data Selection for Video Quality Assessment,https://openaccess.thecvf.com/content/CVPR2026/papers/Zou_MDS-VQA_Model-Informed_Data_Selection_for_Video_Quality_Assessment_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.11525,video quality assessment; model-informed data selection; dataset curation; failure predictor; ranking objective; deep semantic video features; greedy selection; constrained labeling budget; active fine-tuning; gMAD rank,2026-06-06
SEBA: Sample-Efficient Black-Box Attacks on Visual Reinforcement Learning,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_SEBA_Sample-Efficient_Black-Box_Attacks_on_Visual_Reinforcement_Learning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.09681,black-box adversarial attacks; visual reinforcement learning; image-based continuous control; adversarial perturbations; shadow Q model; cumulative rewards; generative adversarial network; world model; environment dynamics; sample-efficient attacks,2026-06-06
Multimodal Semantic Bias Mitigation for Diverse Text-To-3D Generation,https://openaccess.thecvf.com/content/CVPR2026/papers/Min_Multimodal_Semantic_Bias_Mitigation_for_Diverse_Text-To-3D_Generation_CVPR_2026_paper.pdf,,Text-to-3D generation; multimodal bias; prompt understanding; cross-modality bias; multi-view consistency; 3D content generation; visual-text connections; bias mitigation; quality evaluation; diverse prompts,2026-06-06
Iris: Bringing Real-World Priors into Diffusion Model for Monocular Depth Estimation,https://openaccess.thecvf.com/content/CVPR2026/papers/Cai_Iris_Bringing_Real-World_Priors_into_Diffusion_Model_for_Monocular_Depth_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.16340,Monocular Depth Estimation; diffusion model; real-world priors; synthetic-to-real domain transfer; Priors-to-Geometry Deterministic schedule; Spectral-Gated Distillation; Spectral-Gated Consistency; high-to-low timestep schedule; high-frequency fidelity; in-the-wild generalization,2026-06-06
RewardFlow: Generate Images by Optimizing What You Reward,https://openaccess.thecvf.com/content/CVPR2026/papers/Susladkar_RewardFlow_Generate_Images_by_Optimizing_What_You_Reward_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.08536,RewardFlow; diffusion models; flow-matching models; multi-reward Langevin dynamics; differentiable rewards; VQA-based reward; prompt-aware adaptive policy; image editing; compositional generation; semantic alignment,2026-06-06
PAS: Prelim Attention Score for Detecting Object Hallucinations in Large Vision-Language Models,https://openaccess.thecvf.com/content/CVPR2026/papers/Hoang_PAS_Prelim_Attention_Score_for_Detecting_Object_Hallucinations_in_Large_CVPR_2026_paper.pdf,,object hallucinations; vision-language models; attention mechanisms; preliminary tokens; mutual information; image dependency; hallucination detection; LVLMs; inference-time intervention; attention weights,2026-06-06
HOPS: Hierarchical Open-vocabulary Part Segmentation with Attention-Aware Filtering and Affinity-Guided Enhancement,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_HOPS_Hierarchical_Open-vocabulary_Part_Segmentation_with_Attention-Aware_Filtering_and_Affinity-Guided_CVPR_2026_paper.pdf,,Open-vocabulary part segmentation; VLM-based methods; CLIP; DINO; semantic-structural attention fusion; object over-segmentation; part under-segmentation; Attention-Aware Filtering Module; Affinity-Guided Enhancement Module; fine-grained part perception,2026-06-06
Captain Safari: A World Engine with Pose-Aligned 3D Memory,https://openaccess.thecvf.com/content/CVPR2026/papers/Chou_Captain_Safari_A_World_Engine_with_Pose-Aligned_3D_Memory_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.22815,pose-conditioned world engine; pose-aligned 3D memory; 3D-consistent video generation; 6-DoF camera trajectories; user-controlled camera motion; persistent world memory; pose-aligned world tokens; FPV drone videos; trajectory following; OpenSafari benchmark,2026-06-06
Streaming Video Crime Anticipation with Spatio-Temporal Causal Reasoning,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Streaming_Video_Crime_Anticipation_with_Spatio-Temporal_Causal_Reasoning_CVPR_2026_paper.pdf,,Crime anticipation; spatio-temporal causal reasoning; video understanding; visual language models; causal structures; entity dynamics; precursor detection; real-time video analysis; hypergraph reasoning; proactive public safety,2026-06-06
TopoMA: Topology-Guided Multi-Agent Dense RGB 3D Reconstruction via Distributed Inference,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_TopoMA_Topology-Guided_Multi-Agent_Dense_RGB_3D_Reconstruction_via_Distributed_Inference_CVPR_2026_paper.pdf,,3D reconstruction; multi-agent collaboration; topology-guided optimization; distributed inference; loop closure; submap fusion; spatial alignment; end-to-end learning; RGB dense reconstruction; real-time SLAM,2026-06-06
Rejection Mixing: Fast Semantic Propagation of Mask Tokens for Efficient DLLM Inference,https://openaccess.thecvf.com/content/CVPR2026/papers/Ye_Rejection_Mixing_Fast_Semantic_Propagation_of_Mask_Tokens_for_Efficient_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.22868,Diffusion Large Language Models; non-autoregressive inference; parallel decoding; combinatorial contradiction; Rejection Mixing; Continuous Mixing State; mask tokens; continuous-space refinement; discrete diffusion decoding; training-free inference speedup,2026-06-06
